"username","dates","location","review","rating","useful","funny","cool"
"maryam p.","11/20/2015","Columbus, OH","birthday dinner was here, and it could not have been better! in the vein, it was very cute that they had a little birthday card waiting for me, and the yummy desert treat at the end. so birthday stuff aside, the service and the food were exceptional, and being right along the water in georgetown adds to the atmosphere. servers were knowledgeable and friendly, and since we noted we would be sharing various items, they even divided it all up for us (while still presenting the food beautifully). We ordered the tuna tartare (my favorite and one of the best I've ever had, with lots of great flavors) the lobster ravioli (one of the items they are known for-lots of tender lobster meat) and the grilled calamari (much more subtle flavors, but as its under the 'simply grilled' section, thats to be expected). Way too much food for 2 people! Next time I'd stick to just the tuna tartare and the lobster ravioli, as they were real standouts, especially compared to much of DC's seafood scene. Would highly recommend this spot for a special occasion!",5,0,0,0
"Adi P.","11/25/2015","Sterling, VA","The best service and great food combination. Cocktails are to the perfection and wine collection is huge. Very happy and pleases with everything from food to service, sitting arrangements everything was just perfect. It's one of the upscale Italian Restaurant in DMV probably, for 3 person bill was $325, with tips will be up to $400, but it was worth.",5,0,0,0
"Lu D.","11/30/2015","Washington, DC","Fiola Mare will go down as our best meal of 2015. Hands Down. This proclamation is not made without heavy consideration. The wifey and I have had the good blessing to enjoy the city's best restaurants, including Minibar. I did have a heavy heart when reading reviews below from diners that had anything but an outstanding meal; wishing that they had the same experience we did.The moment you enter Fiola Mare, you're transported to an otherly world. A host whisks your jackets and you are sat down amidst a room full of diners, lost in their meals and conversation. Our server showered us with attentiveness, taking the time to describe the nuances of dishes; what we may prefer based on preferences shared and gently steering us in a direction he best saw fit with our input.Please do yourself a favor and order the grilled wild calamari as an appetizer. This one dish took my breath away. I was immediately transported to the Mediterranean. With light grill marks, the freshness of the calamari was accentuated by a drizzle of lemon. I savored each bite.The Fiola Maine lobster ravioli was outstanding. Rich yet light, with the nuggets of stuffed lobster. The pasta with King Prawn was savored, each bite meltingly soft. The Under the Sea dish with branzino, lobster, sea urchin, langoustine, and much more exemplified how the best of ingredients prepared simply in a complex, light, and aromatic dashi could shine on its own without unnecessary alterations. Wifts of the sea with each bite, indeed.",5,5,0,1
"Steve S.","12/3/2015","Arlington, VA","Based on price and aspiration, ***.  Was here for a private event for about 20.  Instead of having a dedicated bar stand, the server ran drink orders 2 and 3 at a time to the bar and back.  Not at all efficient.  The menu had options to circle.  Rather than have people select during happy hour, so food could start coming when we sat down, it was one or two servers coming to each guest.  A long process. Our first course did not show up for an hour and 15 minutes or so.The seafood tower, was across the board, awesome tasting fresh with pretty much everything you'd expect.  But i found the prepared food overly rich and creamy and the flavor profile of the food pleasant but not exciting.I understand this was a set menu, and dining for 2 or 4 may be a different experience, but this was not a low budget event, closer to the opposite.If someone else was paying i'd return for the seafood tower, but not anything else.",3,1,0,0
"Sung K.","12/6/2015","Seven Corners, Falls Church, VA","Food and service are impeccable. They will treat you significantly better than Cafe Milano, no matter how busy they are. Redian and Luka (sp?) know their menu and their food! Get the Spanish Branzino or the Grilled Adriatic Seafood for two...",5,1,1,0
"Sara C.","12/10/2015","Memphis, TN","Sunday brunch was a fancy success. Quartet playing in the background with a view of the kitchen and the water! Johnny was a fantastic server. We had the 3 course brunch and bottomless sangria! The 3 courses were a good choice for me because it was a little of everything. It was also served with a beautiful pastry basket. Other staff was also cheerful. The bathroom hand dryers were fun too. So wonderful that we needed a nap afterward.",5,0,0,0
"Elyse A.","12/11/2015","Washington, DC","The chilled seafood platter was delicious. I am wondering though, why no bread and olive oil for our table? I saw that it seemed standard fare for other diners, but not us......some carbs would have been nice. Also, service alternated between switching out dishes a bit too often, to neglecting my wine glass when it was empty. The dessert of the day, a chocolate and toffee-like creation was the perfect ending.",4,0,0,0
"Ms G.","12/14/2015","Washington, DC","The concierge, Omar, at the Marriott sent us to Fiola Mare. Great Choice!!! We thoroughly enjoyed our Anniversary dinner. Waiter was Johnny. He treated us beautifully. Service was excellent. A special greeting card from the chef for our anniversary, complimentary champagne, and dessert. Although, i am expecting, they included me in the toast with ginger ale in the Champagne glass. How sweet!  We Will definitely return with guests. Thank you Johnny.",5,0,0,0
"Bradley M.","12/18/2015","Romulus, MI","Incredible waterfront restaurant with Fabulous food.I started off with a glass of Krug Grand Cuvee and the raw bar- tons of seafood! My main course I had the lobster ravioli with truffle- outstanding!! Decor was perfect for a elegant waterfront theme.Service goodNoise level is medium",5,1,1,1
"Chris P.","12/19/2015","New York, NY","Yes.But since you probably want more of a review than just that . . . . My wife and I came here for a celebration dinner. The setting is beautiful, with the restaurant nestled on the Potomac. The interior was reasonably, but not offensively, dark, and the colour scheme was bathed in browns, beiges, and greys. The light fixtures are fantastic. Unfortunately, they didn't come with the meal, and I'd probably shock myself anyway if I tried to install them.Service was sharp, helpful, and knowledgable, yet unobtrusive.We started with a dozen oysters, half-and-half. While there were three different varieties of oysters on the menu, our dozen only came with two. Unfortunately, I can't tell you which ones we ended up devouring, but I can assure you that we devoured them.We also ordered a bottle of white wine. The sommelier was quite knowledgable, and after narrowing down our preferences, we ended up with a fantastic bottle (which, unfortunately, I can't remember, to my wife's dismay). Next, my wife ordered an appetizer-sized portion of the risotto with alba white truffles. That actually isn't correct: My wife ordered an appetizer-sized portion of alba white truffles that happened to be seated on a bed of risotto. They were truffles. They were delicious. Generally, those two things go hand-in-hand, don't they?For our main course, we shared a black bass, which was carved at the table. I'm not sure what kind of voodoo magicks they put in that fish, because it was truly magical. I'm afraid they had to slaughter some virgins in the back to make it that magical. No, seriously, it was tremendous. Brined in something--maybe fairy dust--rubbed with olive oil, rosemary, and some other herbs, and superbly grilled. The only comparable fish I've had is the John Dorry at Populaire Saveur de Poisson in Tangier, which might be the best fish prepared on this planet.Afterward, I was parched, so the obvious solution was Armagnac. I chose the Castarede Reserve de la Famille flight, which included 1985, 1975, and 1965 vintages. The difference in palate and feel among each was quite notable. My favourite was the 1975, but you'll have to try them yourself. For dessert, we had a chocolate dessert that doesn't appear to be on the most recent menu. It was a lovely flourless chocolate torte-like cake, with other fantastic things. I apologize, we were too busy devouring it to note what all was in it.So yes, you should come here. And, as soon as you can.",5,0,0,0
"John A.","12/23/2015","Upper Marlboro, MD","Yelpers had it right with this rating...this place is a solid 4 out of 5. I made reservations using open table and they did make me put a cc on file because it was a weekend reservation, if your prepared to honor the reservation don't be alarmed. My reservation was at 5:45pm, when I arrived the place was already at 80% capacity and they opened at 5pm. Just a heads up, if you're trying to get a view of the water you might want to make your reservation at 5pm exactly. My server was Vince, very knowledgeable on the menu and gave us just the perfect amount of time to ponder the menu, ask questions, and then ultimately change our sections lol. We ordered the mix grilled seafood for (2), side spinach, and a few cocktails. I was kinda disappointed that they weren't serving potatoes that day but it's cool because everything came out super fast and the food was amazing. Can't remember the name but they do have this Madagascar Shrimp/Lobster creature that was pretty cool. It starts with an ""L"" and is a must try if you ask me. As a preference of mine I prefer to sit as close to the kitchen as possible especially when it's a open kitchen and you can really see how this well oil machine operates. I even saw the head chef who was just as hands on as everyone else in the kitchen. I didn't valet park as the lot is right next door to the restaurant. Solid 4 out of 5, great for surprise dinners and out of town guest.",4,1,0,0
"Samantha L.","12/24/2015","Rockville, MD","Fiola Mare is a fine dining restaurant that serves an Italian Seafood fare. The restaurant had a white painted shelf with sea related decor such as knotted vases. Each table has a candle, giving the restaurant an initiate and romantic setting. It seems like a great place for a celebration of any kind.After a show at the Kennedy Center, we were craving dessert so we hopped in our car and drove to Fiola Mare. This restaurant had a great view of the Georgetown waterfront. For drinks, we got a bottle of still water, a few Apple Ciders and a Hot Chocolate. The Apple Cider consisted of Autumn Spice, Citrus, and Farm Honey. It was delicious but a little on the sweet side. I didn't mind the sweetness but some people may. The Hot Chocolate consisted of grounded milk chocolate blended with hot water and topped with frothy mascarpone cream and Italian chocolate shavings.For desserts, we shared three desserts - Bomboloni, Winter Quince Panna Cotta, and Chocolate Soufflé Crostata, all of which were phenomenal choices. The Bomboloni consisted of six Sardinian Ricotta Doughnuts rolled in Tahitian Vanilla sugar served in a mini deep fryer and served with milk chocolate gelato in a vintage soda fountain dish and with a maple fudge dipping sauce that had a hint of rum. The Winter Quince Panna Cotta consisted of an Italian vanilla custard in a barrel aged maple cream, garnished with winter spice pecans and drops of quince puree, and served with brioche gelato. Since we were a party of five, our server gave us two additional brioche gelato with toasted hazelnut crumble. The Chocolate Soufflé Crostata reminded me of a molten lava tart with a toasted hazelnut crust, filled gianduja (hazelnut based chocolate cream), clementine, raisins, and hazelnut, covered in an creamy Illanka Peruvian Piura Chocolate, baked, and topped with powdered sugar. We liked how it was served hot and fresh from the oven and that it melts in your mouth.",5,5,0,1
"Eric C.","12/29/2015","Baltimore, MD","Amazing birthday present.  My first time dining at Fiola Mare was a treat, and by the time the experience was over, I was already thinking about the next time I would make an appearance.  I will admit, reluctantly, I don't frequent Georgetown much at all; that statement alone might have my Yelp DC card revoked by the ""cool kids"" on this website.  Nonetheless, Fiola Mare might be the go-to spot once the weather gets warm.My lady made reservations (and this is the type of place where you definitely need one) and we were on our way.  Upon arrival, we were greeted like we were royalty; for a minute, I thought it was 1988 and I was the King of Zamunda, minus the rose pedals and African dancing.  I snapped back to reality and made my way to our table.My appetizer was the cream of asparagus soup, was which very good.  For the main course, my lady ordered the Campanelle pasta, while I ordered the swordfish.  My lady felt that the pasta was good, and I would agree based on a couple of bites.  For my first time eating swordfish, I would say that I was mightily impressed with the flavor and overall taste; I would surely recommend if its on the menu.   Also, I would recommend the truffles; the patrons at the table next to ours were raving how good the truffles were.  I heard another table on the way out mention the quality of the truffles as well.I would to give Fiola Mare recognition for acknowledging my birthday with a nice birthday card and a very tasty desert.  All the servers, cooks, and other workers deserve much kudos for how the night went; this was high-quality service from beginning to end.Fiola Mare is on the top of my list of places that I would recommend for a fine dining experience, whether anniversary, birthday, or any other celebration.  There is valet parking, which is $15.  Call the restaurant and ask for more information....or just peep these Yelp reviews :).  Go to FM if you have not already.",5,4,2,2
"Nandini M.","1/3/2016","Washington, DC","Fiola Mare is pretty fancy and impressive but their brunch just didn't do it for me.  The $48 dollar option is a great deal, especially since the bottomless is thrown in.  But I wasn't super hungry so I decided to order a la carte.  My lemon ricotta pancakes were alright, but nothing to write home about and the portion size was small.  The bread basket was good and I really liked the chocolate brioche.  Also my grapefruit mocktail was inventive and delish as well.  The service was attentive and overall the meal was pleasant.  The space is large with some private rooms, so the restaurant is good for groups and parties.  But when the bill came I owed about the same amount as I would have if I'd ordered the signature brunch.  Honestly brunch isn't worth it here unless you're going to order the multi course option and drink.  For a la carte go somewhere else.",3,0,1,0
"Margaret P.","1/6/2016","Brookline, MA","We are in Georgetown for 6 days and wanted a restaurant within walking distance of the Four Seasons hotel.  Fiola Mare was our choice and we are very happy we went there.  The food, cocktails and wine were superb. I had the tagliatelle with alba truffles and it was fantastic!  The best part was that they offer 1/2 orders of pasta.  We also had the grilled calamari and everything was served promptly and with excellent service.  Best part was our waiter, Radian.  He could not have been better!  Terrific service and he was truly great and happy in providing top notch service and information.  Kudos to the owner for selecting help of that quality and the chef for outstanding food.",5,1,0,0
"Kirk S.","1/10/2016","Washington, DC","Fiola Mare is a solid option and deserves its popularity but perhaps lacks a bit of originality in execution and lacks portion sizes given the price it commands.Fiola Mare is a high-end Italian/Seafood joint on the Georgetown waterfront.  The design is nice and clean but perhaps a bit unsurprising.  Given the difficulty in landing a reservation and the near-nosebleed prices some of the dishes command, this is definitely a place best saved for special dates and occasions.  To that end, the view of the water is absolutely spectacular.  As one would expect, the service and overall speed here is superb.  The menu is pretty broad, but somewhat unsurprising - expect a boatload of pasta, seafood, and pretty much other recipes you've seen at plenty of other places.I had brunch here.  I ordered an Aviation cocktail with an order of their Steak and Eggs - a very simple dish for a simple brunch.  The cocktail was excellently mixed (at the table, no less) and a welcome start to the meal.  The Steak and Eggs was also pretty much perfect - the egg was perfectly cooked, the steak (rare, of course) was an excellent cut, etc. - but perhaps a bit small given the higher price, especially in comparison with similar offerings from other high-end D.C. restaurants.  I hate to be ""that guy"" who complaints about portion sizes at a high-end restaurant, but... it was kinda noticeable.   Other dishes appeared to not suffer quite as much from a portion size issue, thankfully, so I might have just had a strange experience.",4,7,2,5
"Joe R.","1/11/2016","Falls Church, VA","First time dinning here, I decided to get the Fiola Mare Signature Brunch on a slightly foggy Saturday. Reserved a table (highly recommended) next to the window with a view of the Georgetown waterfront. The ambiance inside was very elegant, clean and fitted the ""fine dinning"" atmosphere/vibe. Our brunch started with a choice of bottomless Mimosa, Bellini and Sangria to drink, topped with a very nice assortment of ""Basket of Warm Pastry & Breads"". The petite-sized pastries complemented with butter and jam were a great addition that was included in the Brunch special. We then decided to get the Roasted Butternut Squash Crostone and the Smoked Salmon Piadina for our Antipasti/Salad option. For our Main course, we decided to order the Rigatoni alla Carbonara (description: Guanciale, Black Pepper, Pecorino Romano, Sunny Side-Up Duck Egg) and Spaghetti Gragnano ( description: Littleneck Clams, San Marzano Tomatoes, Parsley, Controne Chilies). Both dishes were very flavorful and distinct in taste. Lastly, we finished with dessert by ordering the Winter Quince Panna Cotta and the Bomboloni. Overall, the dinning/service/food experience was great and the meticulous attention to detail/presentation was expected from a ""fine dinning"" restaurant. I would recommend anyone that is looking for a ""fine dining"" seafood experience with a great view of the Georgetown waterfront to come try Fiola Mare at least once.",5,1,0,0
"Lydia K.","1/15/2016","Seattle, WA","Perhaps, I was expecting too much. Perhaps, my tastebuds are spoiled. I wasn't impressed with their food at all.It seemed like street parkings were mostly full, and I did't want to park on the street because the area seemed a little sketchy. Valet parking costs $16 bucks + tips. Once we walked in, staffs welcomed us, checked in our coats, and led us to our table. A Thursday night, the restaurant seemed pretty booked already. Good thing we made a reservation! Our server was friendly and gave me a whole menu that says ""happy birthday"" to take it home as a complimentary gift. Lol. So far everything is good. I tried to order some sweet cocktail. Unfortunately, they don't serve sweet drinks here. :( so I got Bellagio which contains pomegranates and it was aight.Here comes the food.For two people, we started off with Ahi tuna carpaccio. (Pretty much ordered things that were popular on yelp). The chef was nice enough to split our food into seperate dishes to make it easier for us. When I tried the appetizer, I thought it had too much different flavors in one small dish which was very distracting to taste. I've had better tuna stacks before so appetizer was meh for me.Then we ordered fiola Maine lobster ravioli which i was excited for the most. again, the chef splited food for us. When I tried the ravioli, it tasted good at first. Warm, creamy, again rich in flavor. But the more and more you try with the sauce, you kind of get sick of it fast (perhaps too rich in flavor). The most disappoint thing for me was how tough the lobster was. I had to chew so much to swallow the lobster it was hurting my jaw. :( Hoping that the last dish could redeem my disappointment, I decided to order grand Adriatic grilled seafood. I was excited when I got my food because the presentation seemed very nice. But when I tried the fish, it was too greasy and fishy for me (tasted like super omega-3). Trust me, I am a sucker for sushi so I would normally eat all kind of fish but something about grilled salmon that was too oily.. made me almost gag. And I know it's grilled, but honestly, I felt like I could make it better at home. I didn't even finish half of my dish and had to stop eating. After that the server gave us birthday complimentary sweets and a card which was very nice of them.Service was great through the night except one thing that was bugging me a little was there were a lot of Mexican servers communicating in Mexicans which made me wonder if they are they talking about us. I was a little uncomfortable sitting on the table right next to them talking and thought it was unprofessional speaking non-english loudly to other servers while serving food at the fine dinning restaurant. Overall, I probably wouldn't come back here for the food. Compared to its price, the food was disappointing and I think it's better to try somewhere else new that is not overhyped.",3,3,3,1
"Eleni B.","1/17/2016","Arlington, VA","Excellent brunch! The food was amazing, the service excellent, the view was breathtaking. This was a perfect brunch for 35 and over crowd who wants to be pampered, eat great food, and leisurely catch up with friends!",5,0,0,0
"Andrew O.","1/19/2016","Arlington, VA","Bravo!  Ate here for the first time last night for my birthday, and could not be happier.  A great experience all around, from the service to the drinks to the food. First and foremost the service. It was outstanding. Attentive and friendly, with tons of staff, everyone there to make you happy. You really don't get service like that too often anymore. The food was excellent. I had to do the lobster ravioli because you hear so much about it. Decadent and wonderful. The tuna was terrific as well.  Asparagus soup outstanding. Great atmosphere, great view, romantic setting with my beautiful wife. Seriously a great night and I can't wait to go back. Thank you to everyone at Fiola Mare for impressing is so much!",5,0,0,0
"Ariel R.","1/20/2016","Washington, DC","This is truly a fantastic dinning experience. From the moment we were seated we received top notch service.  The waitress explained the menu and dishes and she paid just the perfect amount of attention to us.Food: ordered the bucatini with wild tiger prawns and sea urchin.  The pasta is cooked perfectly and the sea urchin complements the entire dish.  The grilled calamari is fresh and grilled to perfection.  The flavor profile is simple yet spot on.  The ahi tuna carpaccio is a great addition to balance the heavier pasta dishes. Clearly all ingredients are fresh and presented with such care.  The best dish is the Maine Lobster Ravioli.  The butter pouched lobster melts in your mouth.  The lobster pieces are nice in size and generously portioned throughout the dish and the ravioli is stuffed with big chunks of lobster. Drinks: the bartenders make an array of unique classic cocktails with a twist. Ordered the winter tail, foreign policy, and sapore vero. Drinks were all mixed well and served accordingly.  To each his own on drinks, but everything poured is a delight.Price: this is on the finer side of dinning so expect to spend a few dollars.  Whatever the price, it is worth it!Overall, we will definitely return!",5,1,0,0
"Ashley H.","1/29/2016","Herndon, VA","Went for restaurant week and was my first time there. If it weren't for a lunch deal, it probably wouldn't be a place I could afford to easily. It really blew my mind though. Open, bright, classy and nautical theme with big windows overlooking the river. The service is phenomenal, they switch out your forks between meals, keep the water glasses full, and brought me a fresg grapefruit soda even though I didn't order a drink.The food was small, healthful portions you could say. My appetizer was a beet and orange salad with olives. Perfect summer food in the middle of winter. Mix of sweet and salty. Entree was bronzino fillet over farro. Super tender. Dessert was a chocolate-orange panna cotta. I tried my friends' cocktails and they were fabulous and unique..and pretty. You really feel special here and I think it lives up to its reputation as top DC restaurant.",5,1,0,0
"Yvette S.","1/30/2016","Hollywood, FL","Must try the restaurant week menu!   It was delicious!   The wine selection (a small encyclopedia) was extensive.  We sat at the bar (of course) and Tom was great!  Restaurant between.",5,1,0,0
"Katie F.","1/30/2016","Washington, DC","We went to Fiola Mare today for lunch/brunch to celebrate my mother's birthday. It is quite a lovely space right on the water in Washington Harbor. The decor is light and airy and is evocative of the sea. They gave us a lovely, quiet table in a separate room. This was my first (and perhaps only) visit to the restaurant. The service was very good. They made my mother feel very special by giving her a birthday card. The maitre'd also greeted her and wished her a very happy birthday on her way out. Unfortunately, the food was marginal, at best. I have gluten sensitivity and was pleased to see that they had gluten-free pasta on their menu. I ordered a kale pesto with mussels dish. Unfortunately, it was EXTREMELY salty! At first, I found the taste somewhat pleasant, but it just became overwhelming. My husband ordered shrimp and grits. His major complaint was that it was so hard and messy to eat. Every shrimp had to be peeled and they were in a deep dish that was not user-friendly. They gave me a bowl for my mussel shells, but gave him nothing in which to place his shrimp shells. My five-year-old ordered the lemon ricotta pancakes. They came with creme fraiche, but no syrup. The waiter asked if she could have bourbon maple syrup. I said, ""Don't you just have plain maple syrup?"" He said they did not. How did they make the bourbon maple syrup if they didn't have maple syrup to begin with? Odd. My mother and her friend both seemed to enjoy their meals, but I don't think it was worth the price. Overall, the ambiance and service are good, but the food is so-so.",3,0,0,0
"Julia G.","1/31/2016","Silver Spring, MD","Five stars. Hands down, the best Italian restaurant I have ever been to. Everyone was very courteous , helpful, and pleasant. Our server was excellent , knowledgeable and prompt. We sampled some wine before deciding On the super Tuscan. It paired  nicely with the meal. Nice aroma and juust sweet enough . For starters we ordered the fiola mare oysters and caviar. It was a new dish to me so it was a pleasant surprise. It was sweet but tangy. The oysters tasted fresh . I liked the creamy sauce with sprinkle of caviar on top. It was all contained in a flute. It was new. It was interesting. Looked forward to my entree. I ordered the bucatini which was the most amazing pasta dish I've ever had in any restaurants. I usually don't like going to Italian restaurants only because most of the pasta dishes are what I can make at home. Nothing to it. But this pasta dish blew my expectations. It had all the right flavored and definitely not a dish you can make at home. It had hints of Sea urchin and prawn which just topped it. My boyfriend ordered the duck egg ravioli with black truffles. I love truffles. It takes any pasta to the next level. He loved his dish as well. Next onto the dessert. I had the homemade gelato ice cream. It was simply delicious. Smooth and creamy. The nougat was my favorite. The vanilla flavored gelato following closely behind. The only thing I would change is maybe instead of the pistachio gelato I'll try the coconut sorbet. My boyfriend had the donuts. For donuts it was pretty good. He enjoyed it more with the macchiato. The presentation for all the dishes are spot on. Overall a splendid dinner, one that I enjoyed fairly and would probably go back again.",5,1,0,0
"Maris K.","1/31/2016","Westford, MA","This may seem like common sense, as Fiola Mare is a seafood restaurant, but it is important to note that there are virtually no options for non-seafood eaters. I am not exaggerating. If you're going with a party whose food tastes you don't know, beware: options may be limited. That said, the staff was very friendly and easily accommodating of a vegan in our group. I myself am very picky about seafood--if anything tastes ""fishy,"" I am out--but found everything here to be incredibly delicious. (So as not to lose credibility as a reviewer of a seafood restaurant, please note that I ate oysters, scallops, fish, and lobster over the course of the evening.)Tips: Great date spot if you have the money to spend (it is easy to drop $40+ on an entree alone). The volume level was lively but not deafening, and the view lovely, even while the river view windows were closed up for the season. You can get some pretty fancy appetizers, but consider the oysters if you're going to get one of the more complex entree options (you'll know what I mean when you read the menu). The oysters come with two incredibly unique sauces (at time of writing, fruit-based and shallot-based sauces) that were like nothing I've ever eaten. Don't skip dessert. Get the doughnuts.",4,1,0,0
"Will N.","2/1/2016","Fairfax, VA","This is my favorite restaurant at waterfront. The place looks great, is in a perfect location, has amazing food, and impeccable service. Make sure you get reservations ahead of time because they book up fast. I arrived a little early for my reservation on Friday night, so I had had a couple drinks at the bar beforehand. Bartender was super professional and fast. After we were seated, the server was extremely polite and helpful, gave great recommendations, and was very attentive. We wanted to split the two entrees and our server said it was no problem and had them split in the kitchen and plated separately. The lobster ravioli was out of control. It was just as good as it sounded. Big chunks of lobster. I wish I could remember the second item, it was fish with truffles and WOW. Unbelievable. We didn't want desert but the server ended up giving us complimentary apricot ice cream/gelato which was also fantastic. All in all, great experience. It's pricey but worth it.",5,1,0,0
"Jeanpaul C.","2/2/2016","Washington, DC","We gave Fiola Mare a shot for a birthday dinner recently. When we arrived the restaurant was buzzing. Other than sitting down a few minutes late for our reservation the experience was great. The place was pricey but at the end of the meal it was worth every penny. The table de-boned Dover Sole is incredible. They have an extensive wine list covering a bunch of different price ranges. The view from the restaurant is a spectacular overlook of the Potomac and in the summer they will have outside tables. Douglas, our server was probably one of the best servers I have ever encountered. We will definitely return.",4,0,0,0
"Hannah H.","2/2/2016","VA, VA","NOPE.About a 1-1.5:  I've been wanting to try out Fiola Mare for a while now, so I was pretty excited to finally come here for dinner with ADRIENNE M.  Set in the Georgetown Waterfront, dining here during the day/spring/fall would be the best time (in the evening, nothing can be seen!).  Owned by Fabio and Maria Trabocchi, the menu offers antipasti, soups, salads, grilled fish, pasta dishes, as well as other seafood entrees.  It's a mix of Italian and Mediterranean cuisine, focusing primarily on fresh seafood.  We started off with the Fiola Mare Oysters & Caviar (with Chef Creek oysters, prosecco Zabaglione, chives, pane carasau, and Grinnel caviar, this came in a little test tube-like glass vessel, hanging 'freely' on a rim; there were about 3 oysters that were super briny, and I wasn't a fan of the combination of the flavors, as it was like a carbonated cream-based sauce) and the Japanese Hiramasa Tartare (base of a cauliflower panna cotta, hazelnut oil, passion fruit zabaglione, and paddlefish caviar, chopped hiramasa was fresh, but the bite itself was way too acidic).  For the entrees, I had the Rigatoni (pork cheek ragu, maitake mushrooms, bacon, spinach, and barilotto di bufala; this was my least favorite dish of the night, as the pork ragu was just not tasty at all - it wasn't seasoned, in addition it to having a very soft texture; also, it had an off 'pork' taste to it, and the watery tomato ragu sauce was not appetizing); the Buccatini (some langoustine tails, espelette, basil, hay-smoked sea urchin, and almond pane fritto; the sea urchin was miniscule, and there were hardly any on the plate; the langoustine tails were a bit overcooked, so they had a slight rubbery bite to them; I found this dish to have a very distinct 'hot dog' taste to it, that was a little off-putting!); and, the Fiola Maine Lobster Ravioli (little purses filled with lobster, with also an addition of extra lobster meat on the side, this had way too much ginger and seemed to ruin the taste; I appreciated the creamy sauce with the abundance of chopped chives; however, the ginger was just way too overpowering) - I loved that all the pasta were cooked perfectly al dente, and had a lovely slight bite to each of them.  We shared a grilled Dover Sole (a whole fish that is deboned and carved tableside, the fish was very delicate and soft, but could have used a bit more seasoning; while the sole was light and buttery, I wished there was some type of a sauce that came with besides the sliced lemon and the salsa verde).  We also had a side of the Wilted Spinach alla Romana (with garlic, pine nuts, and golden raisins, this was way too salty; I can handle salt, but this had just copious amounts of it!) and a Risotto with some mushrooms (this was my favorite of the night, as the risotto was cooked perfectly - it was buttery, seasoned perfectly, and the mushrooms were lovely).  For dessert, I tried their milk chocolate gelato (this was not overly sweet, but tasted more like a malt chocolate shake; it was delicate in flavor and it was yummy), a delicious raspberry sorbetto (nice and tangy), a piece of their complimentary chocolate/hazelnut cake (this was pretty delicious, as it had a nice little toasted crunch base with buttercream and hard milk chocolate pieces), and a Bomboloni to-go (our server, Douglas (who was very friendly, kind, and efficient), was able to custom-make the flavors for us, and I had a slip of mind and forgot to take it with me; I was a little upset that they threw the bombolonis out as they turned-over our table so quickly (still, my fault) T____T When the management (Juan) was notified, he took the liberty to choose a flavor, and then proceeded to pass the blame onto our server and to my dining counterpart (which is so not cool). I was just not a fan of the overall taste of each of the dishes. The food itself was, honestly, pretty underwhelming, considering that Fiola Mare consistently ranks as one of the top restaurants in the DC area.  With the odd combination of flavors, the overcooked seafood, and the lack of communication of the management on staff that evening, I can't recommend this place.+#overhyped+overcooked seafood T____T+risotto with mushrooms :D+ask for Douglas and Carlos :D+not-so-nice management T____T+extremely limited metered parking off of K St; valet available",2,18,11,12
"Jane P.","2/4/2016","Williamsburg, VA","We were there to celebrate a birthday. The attention to every detail, service, food, request for a warm spot with a view was excellent. We had a mixed grill and a delicious Adriatic Fish Stew. Dessert was the bambolino, a chocolate mousse, and a birthday Napoleon with chocolate layers. Robbyn and the rest of the waitstaff were very attentive without intruding. Although we spent 2.5 plus hours at lunch, we were not rushed. Excellent experience, I will be back.",5,0,0,0
"Nicole Y.","2/5/2016","Washington, DC","As I work close by, I occasionally come in for lunch at the bar where Tom takes great care of all his patrons. Fiola Mare has a great ""Presto! Lunch at the Bar"" special where you can get a an entree with wine pairing for $24. While this menu is limited, it's curated from the normal lunch menu and usually consists of mainly pastas. However, the pastas are heavenly indulgences not to be missed. If you're looking for lighter fare, the seafood is always perfectly cooked and the salads fresh and beautifully presented. I've enjoyed lunch in the dining room as well, and the service has always stood out as incredibly gracious and attentive. With its location on the waterfront, it's a great place to take a date or business associate you'd like to impress. Impeccable food and service from the moment you step in the door until the moment you leave. By that time, you'll already be plotting your next visit back.",5,2,1,1
"Elizabeth B.","2/5/2016","Washington, DC","I usually don't write a review after only trying a place once, but Fiola Mare is an exception.  Fiola Mare is a great choice for a special occasion.  They even ask when you reserve if you're celebrating a special event. Everything was fab - the food, the service, the gorgeous view of the Potomac.  Everything was delicious, and it was restaurant week for lunch to boot.  We had divine butternut squash soup, Bronzino with farro and the most delicious, rich little chocolate dessert ever that won over two serious chocoholics.I took my friend for her birthday and Fiola Mare couldn't have been nicer - the hostess wished her happy birthday when we arrived, the waiter did as well.  He even brought an extra dessert with a candle as a surprise, along with a nice birthday card from the owners.  Everyone was gracious and the service was perfection.  I'm pretty sure diners are always treated to such attentive service.There are several well priced menus that give you a few options to eat here even when it's not restaurant week without blowing a hole in your budget - check the website.  Thanks for the beautiful lunch, Fiola Mare!   I'll be back.",5,2,0,1
